iter	Passed	Remaining
0	142	142003
1	143	71476
2	144	47887
3	145	36106
4	145	29022
5	146	24287
6	147	20905
7	148	18375
8	148	16399
9	149	14817
10	150	13527
11	151	12449
12	151	11530
13	152	10747
14	153	10063
15	153	9459
16	154	8926
17	154	8452
18	155	8028
19	156	7645
20	156	7297
21	157	6982
22	157	6693
23	158	6428
24	158	6185
25	159	5961
26	159	5752
27	160	5559
28	160	5379
29	161	5211
30	161	5054
31	162	4907
32	162	4768
33	163	4638
34	163	4515
35	164	4398
36	164	4288
37	165	4184
38	165	4086
39	166	3992
40	166	3902
41	167	3818
42	167	3737
43	168	3659
44	168	3585
45	169	3514
46	169	3446
47	170	3381
48	171	3319
49	171	3258
50	172	3201
51	172	3145
52	173	3091
53	173	3040
54	174	2990
55	174	2942
56	175	2896
57	175	2851
58	176	2808
59	176	2766
60	177	2726
61	177	2687
62	178	2649
63	178	2612
64	179	2576
65	179	2542
66	180	2509
67	180	2473
68	180	2441
69	181	2410
70	181	2380
71	182	2351
72	182	2323
73	183	2295
74	183	2269
75	184	2242
76	184	2217
77	185	2192
78	185	2168
79	186	2144
80	186	2121
81	187	2098
82	187	2076
83	188	2055
84	188	2032
85	189	2012
86	189	1990
87	190	1970
88	190	1951
89	191	1933
90	191	1914
91	192	1897
92	192	1879
93	193	1862
94	193	1845
95	194	1829
96	194	1813
97	195	1797
98	195	1781
99	196	1766
100	196	1751
101	197	1735
102	197	1720
103	198	1706
104	198	1692
105	199	1678
106	199	1665
107	200	1652
108	200	1639
109	201	1626
110	201	1614
111	202	1602
112	202	1589
113	203	1578
114	203	1566
115	203	1554
116	204	1543
117	204	1532
118	205	1520
119	205	1509
120	206	1499
121	206	1488
122	207	1477
123	207	1467
124	208	1457
125	208	1447
126	209	1438
127	209	1427
128	210	1418
129	210	1409
130	211	1400
131	211	1391
132	212	1382
133	212	1373
134	213	1365
135	213	1356
136	214	1348
137	214	1339
138	215	1331
139	215	1323
140	216	1316
141	216	1308
142	217	1300
143	217	1293
144	218	1285
145	218	1278
146	219	1271
147	219	1263
148	220	1256
149	220	1249
150	221	1242
151	221	1236
152	222	1229
153	222	1222
154	223	1216
155	223	1209
156	224	1203
157	224	1196
158	225	1190
159	225	1184
160	226	1178
161	226	1172
162	227	1165
163	227	1160
164	228	1154
165	228	1148
166	229	1142
167	229	1136
168	230	1131
169	230	1125
170	231	1120
171	231	1114
172	232	1109
173	232	1104
174	233	1098
175	233	1093
176	234	1088
177	234	1083
178	235	1078
179	235	1073
180	235	1067
181	236	1062
182	236	1057
183	237	1052
184	237	1048
185	238	1043
186	238	1038
187	239	1033
188	239	1029
189	240	1024
190	240	1020
191	241	1015
192	241	1011
193	242	1006
194	242	1002
195	243	998
196	243	993
197	244	989
198	244	985
199	245	981
200	245	977
201	246	973
202	246	969
203	247	964
204	247	960
205	248	956
206	248	953
207	249	949
208	249	945
209	250	941
210	250	937
211	251	934
212	251	930
213	252	927
214	252	923
215	253	920
216	253	916
217	254	912
218	254	909
219	255	905
220	255	902
221	256	898
222	256	895
223	257	891
224	257	888
225	258	885
226	258	881
227	259	878
228	259	875
229	260	871
230	260	868
231	261	865
232	261	862
233	262	859
234	262	855
235	263	852
236	263	849
237	264	846
238	264	843
239	265	840
240	265	837
241	266	834
242	267	831
243	267	829
244	268	826
245	268	823
246	269	820
247	269	818
248	270	815
249	270	812
250	271	809
251	271	806
252	272	803
253	272	801
254	273	798
255	273	795
256	274	793
257	274	790
258	275	787
259	275	785
260	276	782
261	276	779
262	277	777
263	277	774
264	278	771
265	278	769
266	279	766
267	279	764
268	280	761
269	280	759
270	281	756
271	281	754
272	282	751
273	282	749
274	283	746
275	283	744
276	284	741
277	284	739
278	285	737
279	285	734
280	286	732
281	286	730
282	287	727
283	287	725
284	288	723
285	288	720
286	289	718
287	289	716
288	290	714
289	290	711
290	291	709
291	291	707
292	292	705
293	292	703
294	293	700
295	293	698
296	294	696
297	294	694
298	295	692
299	295	690
300	296	688
301	296	686
302	297	684
303	297	681
304	298	679
305	298	677
306	299	675
307	299	673
308	300	671
309	301	669
310	301	667
311	302	666
312	302	664
313	303	662
314	303	660
315	304	658
316	304	656
317	305	654
318	305	652
319	306	650
320	306	648
321	306	646
322	307	644
323	307	642
324	308	640
325	308	638
326	309	636
327	309	635
328	310	633
329	310	631
330	311	629
331	311	627
332	312	625
333	312	624
334	313	622
335	313	620
336	314	618
337	314	616
338	315	615
339	316	613
340	316	611
341	317	609
342	317	608
343	317	606
344	318	604
345	318	602
346	319	601
347	319	599
348	320	597
349	320	595
350	321	594
351	321	592
352	322	590
353	322	589
354	323	587
355	323	585
356	324	584
357	324	582
358	325	581
359	325	579
360	326	577
361	326	576
362	327	574
363	327	572
364	328	571
365	328	569
366	329	568
367	329	566
368	330	565
369	330	563
370	331	561
371	331	560
372	332	558
373	332	557
374	333	555
375	333	554
376	334	552
377	334	551
378	335	549
379	335	548
380	336	546
381	336	544
382	337	543
383	338	542
384	338	540
385	339	539
386	339	537
387	340	536
388	340	535
389	341	533
390	341	532
391	342	530
392	342	529
393	343	527
394	343	526
395	344	525
396	344	523
397	345	522
398	345	520
399	346	519
400	346	518
401	347	516
402	347	515
403	348	513
404	348	512
405	349	511
406	349	509
407	350	508
408	350	506
409	351	505
410	351	504
411	352	502
412	352	501
413	353	500
414	353	498
415	354	497
416	354	496
417	355	494
418	355	493
419	356	492
420	356	490
421	357	489
422	357	488
423	358	486
424	358	485
425	359	484
426	359	483
427	360	481
428	360	480
429	361	479
430	361	477
431	362	476
432	362	475
433	363	473
434	363	472
435	364	471
436	364	470
437	365	468
438	365	467
439	366	466
440	366	465
441	367	463
442	367	462
443	368	461
444	369	460
445	369	459
446	370	457
447	370	456
448	371	455
449	371	454
450	372	452
451	372	451
452	373	450
